"iteration","t","position"
67,0.6700000000000004,-0.12546754682279174
68,0.6800000000000004,-0.19337618842242554
69,0.6900000000000004,-0.25734810796051977
70,0.7000000000000004,-0.3165256597588379
71,0.7100000000000004,-0.37013194118797216
72,0.7200000000000004,-0.41748073780420897
73,0.7300000000000004,-0.45798503086750064
74,0.7400000000000004,-0.4911639662419851
75,0.7500000000000004,-0.5166482071035813
76,0.7600000000000005,-0.534183617075879
77,0.7700000000000005,-0.5436332450291211
78,0.7800000000000005,-0.5449776074499622
79,0.7900000000000005,-0.5383132886685672
80,0.8000000000000005,-0.5238499029704168
81,0.8100000000000005,-0.5019054853928666
82,0.8200000000000005,-0.47290039949958745
83,0.8300000000000005,-0.437349870350708
84,0.8400000000000005,-0.39585526898057793
85,0.8500000000000005,-0.349094290726217
86,0.8600000000000005,-0.2978101835181765
87,0.8700000000000006,-0.24280019358733815
88,0.8800000000000006,-0.1849034048287539
89,0.8900000000000006,-0.12498815420794274
90,0.9000000000000006,-0.06393920904609093
91,0.9100000000000006,-0.0026448927675255165
92,0.9200000000000006,0.058015656236392384
93,0.9300000000000006,0.11718491251238747
94,0.9400000000000006,0.17403890515263015
95,0.9500000000000006,0.2277985094570563
96,0.9600000000000006,0.2777399366261143
97,0.9700000000000006,0.32320428308789434
98,0.9800000000000006,0.36360601647447494
99,0.9900000000000007,0.39844029220997923
100,1.0000000000000007,0.4272890128932011
101,1.0100000000000007,0.44982556187226996
102,1.0200000000000007,0.4658181623289728
103,1.0300000000000007,0.47513183352139043
104,1.0400000000000007,0.47772893627912105
105,1.0500000000000007,0.4736683201118354
106,1.0600000000000007,0.46310310409228067
107,1.0700000000000007,0.44627714273291147
108,1.0800000000000007,0.42352024612943046
109,1.0900000000000007,0.3952422404510889
110,1.1000000000000008,0.3619259701943612
111,1.1100000000000008,0.32411935728546315
112,1.1200000000000008,0.2824266439466958
113,1.1300000000000008,0.2374989560890397
114,1.1400000000000008,0.19002433174644545
115,1.1500000000000008,0.14071736464502066
116,1.1600000000000008,0.09030861635419755
117,1.1700000000000008,0.03953395158083644
118,1.1800000000000008,-0.010876049942835555
119,1.1900000000000008,-0.06020645481290439
120,1.2000000000000008,-0.10776796576913483
121,1.2100000000000009,-0.15290640256806415
122,1.2200000000000009,-0.19501154574338336
123,1.2300000000000009,-0.23352522601578235
124,1.2400000000000009,-0.2679485545656971
125,1.2500000000000009,-0.2978482031527358
126,1.260000000000001,-0.32286165793941035
127,1.270000000000001,-0.34270138662591637
128,1.280000000000001,-0.3571578748895919
129,1.290000000000001,-0.3661015049041391
130,1.300000000000001,-0.36948326564433775
131,1.310000000000001,-0.36733430151781854
132,1.320000000000001,-0.359764322367342
133,1.330000000000001,-0.3469589138239715
134,1.340000000000001,-0.3291758021439393
135,1.350000000000001,-0.3067401418246269
136,1.360000000000001,-0.28003890727972836
137,1.370000000000001,-0.2495144814916792
138,1.380000000000001,-0.2156575447037823
139,1.390000000000001,-0.17899937474157682
140,1.400000000000001,-0.14010367736415585
141,1.410000000000001,-0.09955807006855705
142,1.420000000000001,-0.057965345957834355
143,1.430000000000001,-0.015934645616642727
144,1.440000000000001,0.025927335575422684
145,1.450000000000001,0.06702497958917703
146,1.460000000000001,0.10678209632697112
147,1.470000000000001,0.14464987736792162
148,1.480000000000001,0.18011434492139844
149,1.490000000000001,0.21270319678645866
150,1.500000000000001,0.2419919581605788
151,1.5100000000000011,0.2676093623168563
152,1.5200000000000011,0.28924189429902775
153,1.5300000000000011,0.3066374446812637
154,1.5400000000000011,0.3196080339095313
155,1.5500000000000012,0.3280315815827691
156,1.5600000000000012,0.33185270904214564
157,1.5700000000000012,0.3310825776127249
158,1.5800000000000012,0.32579777858476716
159,1.5900000000000012,0.3161383043386509
