iteration,t,analytic,beeman,verlet,gear
48,0.048,0.8121223641015703,0.8121206393726694,0.808947737591696,0.8121223640984923
49,0.049,0.8052419931094479,0.8052402047215004,0.8020090084679276,0.8052419931062981
50,0.05,0.7982564931277658,0.7982546403168533,0.794965620546154,0.7982564931245444
51,0.051,0.7911670114378015,0.7911650934654595,0.7878187295372187,0.7911670114345091
52,0.052,0.7839747085267779,0.783972724680198,0.7805695042871044,0.7839747085234142
53,0.053,0.7766807579033458,0.7766787074955744,0.7732191265911914,0.7766807578999114
54,0.054,0.7692863459114745,0.769284228281603,0.7657687910069303,0.7692863459079696
55,0.055,0.761792671542773,0.7617904860561227,0.7582197046649594,0.761792671539198
56,0.056,0.7542009462472746,0.7541986922955753,0.7505730870786956,0.7542009462436298
57,0.057,0.7465123937427137,0.7465100707442751,0.7428301699524289,0.7465123937389996
58,0.058,0.7387282498223231,0.7387258572221999,0.7349921969879487,0.73872824981854
59,0.059,0.7308497621611812,0.7308472994313322,0.7270604236897331,0.7308497621573296
60,0.06,0.7228781901211407,0.7228756567605809,0.7190361171687301,0.722878190117221
61,0.061,0.7148148045543669,0.7148122000893128,0.7109205559447608,0.7148148045503797
62,0.062,0.7066608876055156,0.7066582115895249,0.7027150297475758,0.7066608876014616
63,0.063,0.6984177325125829,0.6984149845266864,0.6944208393165937,0.6984177325084624
64,0.064,0.6900866434064532,0.690083823059281,0.6860392961993528,0.6900866434022672
65,0.065,0.6816689351091817,0.6816660420370816,0.6775717225487073,0.6816689351049304
66,0.066,0.6731659329310352,0.673162966798186,0.6690194509187981,0.6731659329267196
67,0.067,0.6645789724663281,0.6645759329648447,0.6603838240598282,0.6645789724619485
68,0.068,0.65590939938808,0.655906286238113,0.6516661947116762,0.6559093993836373
69,0.069,0.6471585692415289,0.6471553821913564,0.6428679253963764,0.6471585692370238
70,0.07,0.6383278472365289,0.6383245860626424,0.6339903882094983,0.6383278472319619
71,0.071,0.629418608038865,0.6294152725460486,0.6250349646104565,0.6294186080342373
72,0.072,0.6204322355605169,0.6204288255819185,0.6160030452117826,0.6204322355558289
73,0.073,0.6113701227488999,0.6113666381460973,0.6068960295673902,0.6113701227441528
74,0.074,0.6022336713751199,0.6022301120381787,0.5977153259598652,0.6022336713703142
75,0.075,0.5930242918212677,0.5930206576687937,0.5884623511868132,0.5930242918164045
76,0.076,0.5837434028667912,0.5837396938459751,0.5791385303462954,0.5837434028618713
